DATE,PARTY NAME,BILL,ITEM,MAKE,QTY,RATE,TOTAL,PARTY,EX RATE,TOTAL,BROK.TIME,OTHER NOTI.,PAY DATE
31-05-2021,ASHOKA BRG ENTERPRISE,1082,23044 CCW33,SKF,2,47350.45,94700.9,N M SALES AG,,0,MARCH,,
09-04-2021,ASHOKA BRG ENTERPRISE,241,FGC 4,FEENER,1,15606.25,0,KOHINOOR BRGS,624.25,624.25,MARCH,,28-04-2021
12-04-2021,ASHOKA BRG ENTERPRISE,245,FGC 4,FEENER,5,15606.25,0,KOHINOOR BRGS,624.25,3121.25,MARCH,,28-04-2021
19-05-2021,ASHOKA BRG ENTERPRISE,846,BC 4,FEENER,1,2653.13,2653.13,KOHINOOR BRGS,63,63,MARCH,,
24-06-2021,ASHOKA BRG ENTERPRISE,1203,UCFL 206,SKF,22,754.72,16603.84,KOHINOOR BRGS,,0,MARCH,,
24-06-2021,ASHOKA BRG ENTERPRISE,1613,UCP 214,SKF,8,3295.01,26360.08,KOHINOOR BRGS,,0,MARCH,,
07-06-2021,ASHOKA BRG ENTERPRISE,1200,,FEENER,1,7391.28,7391.28,KOHINOOR BRGS,107,107,MARCH,,
05-07-2021,ASHOKA BRG ENTERPRISE,1844,snh 511+h 311,skf,1,1601.04,1601.04,KOHINOOR BRGS,,0,MARCH,,
20-09-2021,ASHOKA BRG ENTERPRISE,4363,UCF 209,SKF,38,1089.15,41387.7,KOHINOOR BRGS,,0,MARCH,,
20-09-2021,ASHOKA BRG ENTERPRISE,2454,UCFL 206,SKF,10,754.72,7547.2,KOHINOOR BRGS,,0,MARCH,,
09-07-2021,ASHOKA BRG ENTERPRISE,1969,,SIBCO,1,1715.4,1715.4,KOHINOOR BRGS,,0,MARCH,,
20-07-2021,ASHOKA BRG ENTERPRISE,2278,,skf/loy,1,4293.24,4293.24,KOHINOOR BRGS,26,26,MARCH,,
20-09-2021,ASHOKA BRG ENTERPRISE,4372,UCFL 206,SKF,18,754.72,13584.96,KOHINOOR BRGS,,0,MARCH,,
20-09-2021,ASHOKA BRG ENTERPRISE,SALE,UCFL 206,SKF,2,754.72,1509.44,GAUTTAM ENT.,,0,MARCH,,
20-09-2021,ASHOKA BRG ENTERPRISE,SALE,UCF 208,SKF,4,1030.85,4123.4,GAUTTAM ENT.,,,MARCH,,
20-09-2021,ASHOKA BRG ENTERPRISE,SALE,UCFL 208,SKF,4,946.05,3784.2,GAUTTAM ENT.,,0,MARCH,,
30-09-2021,ASHOKA BRG ENTERPRISE,SALE,UCF 207,SKF,4,823.62,3294.48,GAUTTAM ENT.,,0,MARCH,,
17-11-2021,ASHOKA BRG ENTERPRISE,SALE,7319 BECBM,SKF,1,33888.6,33888.6,N M SALES AG,,0,MARCH,,
07-12-2021,ASHOKA BRG ENTERPRISE,3586,UCF 210,SKF,22,1319.76,29034.72,KOHINOOR BRGS,,0,MARCH,,
11-10-2021,ASHOKA BRG ENTERPRISE,5134,6307/8 Z,SKS,1,13870.08,13870.08,GAUTTAM ENT.,,,MARCH,,
09-11-2021,ASHOKA BRG ENTERPRISE,SALE,SW 190,LOY-JOY,8,1821.04,14568.32,KOHINOOR BRGS,,0,MARCH,,
08-12-2021,ASHOKA BRG ENTERPRISE,2585,UCF 210,SKF,40,1319.76,52790.4,KOHINOOR BRGS,,0,MARCH,,
13-12-2021,ASHOKA BRG ENTERPRISE,SALE,UCFL 206,SKF,15,830.51,12457.65,KOHINOOR BRGS,,0,MARCH,,
15-12-2021,ASHOKA BRG ENTERPRISE,7376,UCP 208,SKF,2,1074.24,2148.48,KOHINOOR BRGS,,0,MARCH,,
20-12-2021,ASHOKA BRG ENTERPRISE,7555,,SKF,1,24509.32,24509.32,KOHINOOR BRGS,,0,MARCH,,
31-12-2021,ASHOKA BRG ENTERPRISE,7986,,SKF,2,6800,13600,RUSHBH ENT.,200,400,MARCH,,
31-12-2021,ASHOKA BRG ENTERPRISE,7986,,SKF,1,9667.35,9667.35,RUSHBH ENT.,306.9,306.9,MARCH,153.45,
17-01-2022,ASHOKA BRG ENTERPRISE,SALE,16012,SKF,2,1891.2,3782.4,KOHINOOR BRGS,,0,MARCH,,
05-02-2022,ASHOKA BRG ENTERPRISE,5136,4202 ATN 9,SKF,15,1259.84,18897.6,KOHINOOR BRGS,,0,MARCH,,
07-02-2022,ASHOKA BRG ENTERPRISE,3696,4202 ATN9,SKF,4,1219.2,4876.8,KOHINOOR BRGS,,0,MARCH,,
10-03-2022,ASHOKA BRG ENTERPRISE,10566,PHC 10B -1X10FTI,SKF,2,1171.2,2342.4,GAUTTAM ENT.,,0,MARCH,,
02-04-2021,ATUL CORP,SALE,6004 ZZ/6016 2RS,FAG,1,3932,3932,N M SALES AG,,0,MARCH,,
26-05-2021,ATUL CORP,SALE,6204 ZZ B,FAG,552,85,46920,N M SALES AG,1,552,MARCH,,
27-05-2021,ATUL CORP,SALE,6204 ZZ B,FAG,552,85,46920,N M SALES AG,1,552,MARCH,,
05-06-2021,ATUL CORP,SALE,6204 ZZ B,FAG,1380,85,117300,N M SALES AG,1,1380,MARCH,,
