,,,,PURCHASE 2020-21,,,,,,,,,,
,,,,,,,,,,,,,,
DATE ,PARTY NAME,BILL,ITEM,MAKE,QTY,RATE,TOTAL,PARTY,EX RATE,EX TOTAL,REMARKS,BROK.TIME,OTHER NOTI.,PAY DATE
12-06-2020,SATISH TRADING CO,SALE,2204,DETEC,40,80,0,KOHINOOR BEARING,,0,,RECD,,
12-06-2020,SATISH TRADING CO,SALE,2310K,HKM,4,540,0,KOHINOOR BEARING,,0,,RECD,,
12-06-2020,V M CORP HEMANT,SALE,GE 45 ES,CHINA,10,160,0,GAUTTAM ENT.,,0,,RECD,,
12-06-2020,V M CORP HEMANT,SALE,GE 50 ES,CHINA,10,245,0,GAUTTAM ENT.,,0,,RECD,,
13-06-2020,AKSHAY ENTERPRISE,SALE,51120,skf,3,4427.36,0,GAUTTAM ENT.,,0,,RECD,,
13-06-2020,HEENA INTERNATIONAL,SALE,6202 ZZ,KG,100,18,0,KOHINOOR BEARING,,0,,RECD,,
13-06-2020,HEENA INTERNATIONAL,SALE,6205 ZZ,KG,20,41,0,KOHINOOR BEARING,,0,,RECD,,
13-06-2020,HEENA INTERNATIONAL,SALE,6206 ZZ,KG,10,60,0,KOHINOOR BEARING,,0,,RECD,,
13-06-2020,HEENA INTERNATIONAL,SALE,6208 ZZ,KG,30,108,0,KOHINOOR BEARING,,0,,RECD,,
13-06-2020,HEENA INTERNATIONAL,SALE,6209 ZZ,KG,54,120,0,KOHINOOR BEARING,,0,,RECD,,
13-06-2020,HEENA INTERNATIONAL,SALE,6305 ZZ,KG,20,62,0,KOHINOOR BEARING,,0,,RECD,,
13-06-2020,JAINAM ENTER.,SALE,UCF 210,CHINA,4,340,0,GAUTTAM ENT.,,0,,RECD,,
13-06-2020,MARUTI,SALE,LME 16 UU,SEMIK,15,280,0,GAUTTAM ENT.,,0,,RECD,,
13-06-2020,POLITE ENTERPRISE,SALE,UCF 205,CHINA,3,110,0,GAUTTAM ENT.,,0,,RECD,,
13-06-2020,POLITE ENTERPRISE,SALE,"UCF 208 1 1/2""",CHINA,2,250,0,GAUTTAM ENT.,,0,,RECD,,
13-06-2020,POLITE ENTERPRISE,SALE,UCF 210,CHINA,2,330,0,GAUTTAM ENT.,,0,,RECD,,
13-06-2020,POLITE ENTERPRISE,SALE,UCFL 203,CHINA,3,150,0,GAUTTAM ENT.,,0,,RECD,,
13-06-2020,POLITE ENTERPRISE,SALE,UCFL 205,CHINA,4,110,0,GAUTTAM ENT.,,0,,RECD,,
13-06-2020,POLITE ENTERPRISE,SALE,UCP 206,CHINA,3,165,0,GAUTTAM ENT.,,0,,RECD,,
13-06-2020,POLITE ENTERPRISE,SALE,UCP 207,CHINA,3,200,0,GAUTTAM ENT.,,0,,RECD,,
13-06-2020,POLITE ENTERPRISE,SALE,UCP 208,CHINA,2,250,0,GAUTTAM ENT.,,0,,RECD,,
13-06-2020,POLITE ENTERPRISE,SALE,UCP 212,CHINA,2,525,0,GAUTTAM ENT.,,0,,RECD,,
13-06-2020,SAFEE BEARINGS,SALE,UCFL 204,THR,44,105,0,GAUTTAM ENT.,,0,,RECD,,
15-06-2020,AKSHAT ENTER.,X,30211,JEC,3,155,0,KOHINOOR BEARING,,0,,RECD,,
15-06-2020,AKSHAT ENTER.,X,30212,JEC,3,220,0,KOHINOOR BEARING,20,0,,RECD,,
15-06-2020,AKSHAT ENTER.,X,32210,JEC,4,150,0,KOHINOOR BEARING,10,0,,RECD,,
15-06-2020,AKSHAT ENTER.,X,32211,JEC,4,160,0,KOHINOOR BEARING,15,0,,RECD,,
15-06-2020,ATUL-HARESH,SALE,LME 8 UU,SLM,50,50,0,GAUTTAM ENT.,,0,,RECD,,
15-06-2020,AXIS ECNOLOGECS,SALE,POS 25,QLH,2,440,0,GAUTTAM ENT.,,0,,RECD,,
15-06-2020,HEENA INTERNATIONAL,SALE,6309 ZZ,KG,20,230,0,KOHINOOR BEARING,,0,,RECD,,
15-06-2020,LABDDHI ENTERPRISE,SALE,UCP 208,NTN,8,800,0,GAUTTAM ENT.,,0,,RECD,,
15-06-2020,LABDDHI ENTERPRISE,SALE,UCP 209,NTN,4,1200,0,GAUTTAM ENT.,,0,,RECD,,
15-06-2020,M/S ORIENT TRADERS,RECD,3310 A,SKF,2,5000,0,KOHINOOR BEARING,,0,,RECD,,
15-06-2020,SAFEE BEARINGS,SALE,UCF 208-24,FNS,2,270,0,KOHINOOR BEARING,,0,,RECD,,
15-06-2020,SAFEE BEARINGS,SALE,UCP 208-24,FNS,20,270,0,KOHINOOR BEARING,,0,,RECD,,
15-06-2020,SANGAM ENTER,12493,,SMS,1,630,0,GAUTTAM ENT.,,0,,RECD,,
15-06-2020,SHETH BROTHERS,SALE,32212,FAG,10,674.88,0,KOHINOOR BEARING,,0,,RECD,,
15-06-2020,SHETH BROTHERS,SALE,6207 ZZ,FAG,20,215.8,0,KOHINOOR BEARING,,0,,RECD,,
15-06-2020,V M CORP HEMANT,SALE,GE 60 E,CHINA,20,325,0,GAUTTAM ENT.,,0,,RECD,,
16-06-2020,ATUL-HARESH,SALE,LMF 25 UU,SLM,20,225,0,GAUTTAM ENT.,,0,,RECD,,
